Ticker,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price
INFY,4-May-20,715.5,689.8,701.2,670.35,675.15,673.7
INFY,5-May-20,673.7,681.75,685.6,670,674.5,673.7
INFY,6-May-20,673.7,676.9,681.45,664.05,667,665.9
INFY,7-May-20,665.9,665.55,674.35,662.45,666.7,664.95
INFY,8-May-20,664.95,672.25,680.9,668.5,676,674.2
INFY,11-May-20,674.2,682.5,698.55,678,683.75,682.9
INFY,12-May-20,682.9,678.5,691,675.5,687,687.65
INFY,13-May-20,687.65,694.8,699.9,683.75,693.75,694.15
INFY,14-May-20,694.15,659,671.75,652.6,658.2,658.15
INFY,15-May-20,658.15,664.8,664.8,646.7,652.3,652.3
INFY,18-May-20,652.3,659.85,670.55,653,659.6,663.9
INFY,19-May-20,663.9,664,674.8,655,670,668.6
INFY,20-May-20,668.6,668.5,673,659.65,666,669.55
INFY,21-May-20,669.55,666.5,679.45,665.4,673,672.2
INFY,22-May-20,672.2,675,695.85,673.5,692,692.35
